payment_id,customer_id,merchant_id,ts,amount_minor,method,bank,status,error_reason,error_source,is_subscription
pay_gen_0000001,cust_007985,merch_d2c_fashion,2026-01-01T19:04:00+00:00,173385,card,SBI,captured,,,0
pay_gen_0000002,cust_006076,merch_saas_subscriptions,2026-01-01T05:18:00+00:00,395336,card,HDFC,captured,,,0
pay_gen_0000003,cust_006792,merch_prime_retail,2026-01-01T08:40:00+00:00,88128,card,ICICI,captured,,,0
pay_gen_0000004,cust_004294,merch_saas_subscriptions,2026-01-01T06:59:00+00:00,40341,card,HDFC,captured,,,0
pay_gen_0000005,cust_000199,merch_d2c_fashion,2026-01-01T12:17:00+00:00,152455,wallet,amazonpay,captured,,,0
pay_gen_0000006,cust_003841,merch_d2c_fashion,2026-01-01T06:52:00+00:00,1598473,card,SBI,captured,,,0
pay_gen_0000007,cust_000775,merch_prime_retail,2026-01-01T01:22:00+00:00,125171,upi,KOTAK,captured,,,0
pay_gen_0000008,cust_001953,merch_prime_retail,2026-01-01T23:57:00+00:00,130189,netbanking,SBI,failed,timeout,network,1
pay_gen_0000009,cust_003463,merch_prime_retail,2026-01-01T08:24:00+00:00,43319,upi,ICICI,failed,insufficient_funds,gateway,0
pay_gen_0000010,cust_003775,merch_saas_subscriptions,2026-01-01T02:45:00+00:00,200115,card,AXIS,captured,,,0
pay_gen_0000011,cust_005679,merch_d2c_fashion,2026-01-01T13:29:00+00:00,56852,upi,ICICI,captured,,,0
pay_gen_0000012,cust_000867,merch_prime_retail,2026-01-01T05:38:00+00:00,185162,upi,SBI,captured,,,0
pay_gen_0000013,cust_001625,merch_saas_subscriptions,2026-01-01T17:15:00+00:00,266522,card,AXIS,failed,processing_error,gateway,0
pay_gen_0000014,cust_001064,merch_prime_retail,2026-01-01T23:35:00+00:00,67341,upi,KOTAK,captured,,,0
pay_gen_0000015,cust_002228,merch_prime_retail,2026-01-01T14:06:00+00:00,121507,upi,ICICI,captured,,,0
pay_gen_0000016,cust_006383,merch_saas_subscriptions,2026-01-01T22:19:00+00:00,324610,card,ICICI,captured,,,0
pay_gen_0000017,cust_000890,merch_saas_subscriptions,2026-01-01T17:36:00+00:00,95974,card,ICICI,captured,,,0
pay_gen_0000018,cust_002556,merch_prime_retail,2026-01-01T23:15:00+00:00,174534,upi,AXIS,captured,,,0
pay_gen_0000019,cust_007345,merch_prime_retail,2026-01-01T07:05:00+00:00,40746,upi,ICICI,captured,,,0
pay_gen_0000020,cust_005482,merch_prime_retail,2026-01-01T21:43:00+00:00,129381,upi,AXIS,captured,,,0
pay_gen_0000021,cust_004852,merch_saas_subscriptions,2026-01-01T10:56:00+00:00,203354,netbanking,HDFC,captured,,,1
pay_gen_0000022,cust_000141,merch_saas_subscriptions,2026-01-01T21:45:00+00:00,99382,card,AXIS,captured,,,0
pay_gen_0000023,cust_004877,merch_prime_retail,2026-01-01T16:48:00+00:00,269734,upi,SBI,captured,,,0
pay_gen_0000024,cust_007897,merch_prime_retail,2026-01-01T22:00:00+00:00,926738,upi,HDFC,captured,,,0
pay_gen_0000025,cust_000515,merch_prime_retail,2026-01-01T20:46:00+00:00,148019,card,HDFC,captured,,,0
pay_gen_0000026,cust_003016,merch_d2c_fashion,2026-01-01T10:03:00+00:00,177533,upi,ICICI,failed,invalid_vpa,gateway,0
pay_gen_0000027,cust_006206,merch_prime_retail,2026-01-01T20:20:00+00:00,39715,upi,AXIS,captured,,,0
pay_gen_0000028,cust_000015,merch_d2c_fashion,2026-01-01T05:52:00+00:00,2507918,card,KOTAK,failed,insufficient_funds,bank,0
pay_gen_0000029,cust_002727,merch_prime_retail,2026-01-01T14:33:00+00:00,68483,card,HDFC,captured,,,0
pay_gen_0000030,cust_003230,merch_prime_retail,2026-01-01T10:09:00+00:00,80001,upi,KOTAK,captured,,,0
pay_gen_0000031,cust_001275,merch_saas_subscriptions,2026-01-01T23:09:00+00:00,279922,card,HDFC,failed,processing_error,gateway,1
pay_gen_0000032,cust_007412,merch_prime_retail,2026-01-01T07:08:00+00:00,205794,upi,ICICI,captured,,,0
pay_gen_0000033,cust_007666,merch_prime_retail,2026-01-01T20:39:00+00:00,148764,card,HDFC,captured,,,0
pay_gen_0000034,cust_003886,merch_prime_retail,2026-01-01T17:33:00+00:00,42177,card,SBI,captured,,,0
pay_gen_0000035,cust_003664,merch_prime_retail,2026-01-01T01:11:00+00:00,128289,upi,SBI,captured,,,0
pay_gen_0000036,cust_005783,merch_prime_retail,2026-01-01T07:07:00+00:00,267061,upi,SBI,captured,,,0
pay_gen_0000037,cust_006997,merch_prime_retail,2026-01-01T05:19:00+00:00,2388171,card,AXIS,captured,,,0
pay_gen_0000038,cust_007305,merch_saas_subscriptions,2026-01-01T10:03:00+00:00,154873,card,HDFC,captured,,,0
pay_gen_0000039,cust_003158,merch_prime_retail,2026-01-01T04:40:00+00:00,323826,upi,KOTAK,captured,,,0
pay_gen_0000040,cust_007657,merch_saas_subscriptions,2026-01-01T13:03:00+00:00,113685,netbanking,SBI,failed,processing_error,network,0
pay_gen_0000041,cust_003079,merch_d2c_fashion,2026-01-01T19:10:00+00:00,869708,netbanking,HDFC,failed,network_error,gateway,0
pay_gen_0000042,cust_003032,merch_saas_subscriptions,2026-01-01T19:05:00+00:00,520924,card,AXIS,captured,,,0
pay_gen_0000043,cust_001352,merch_d2c_fashion,2026-01-01T14:13:00+00:00,51738,upi,HDFC,captured,,,0
pay_gen_0000044,cust_000989,merch_saas_subscriptions,2026-01-01T11:03:00+00:00,198399,netbanking,AXIS,failed,timeout,network,0
pay_gen_0000045,cust_002634,merch_prime_retail,2026-01-01T12:09:00+00:00,1170846,upi,SBI,captured,,,0
pay_gen_0000046,cust_002580,merch_prime_retail,2026-01-01T11:07:00+00:00,950542,upi,ICICI,captured,,,0
pay_gen_0000047,cust_005953,merch_saas_subscriptions,2026-01-01T13:00:00+00:00,105579,card,HDFC,captured,,,0
pay_gen_0000048,cust_005137,merch_saas_subscriptions,2026-01-01T14:32:00+00:00,46667,card,KOTAK,captured,,,0
pay_gen_0000049,cust_001553,merch_prime_retail,2026-01-01T13:11:00+00:00,3621700,upi,ICICI,captured,,,1
pay_gen_0000050,cust_003038,merch_d2c_fashion,2026-01-01T10:49:00+00:00,139688,card,ICICI,captured,,,0
pay_gen_0000051,cust_002349,merch_saas_subscriptions,2026-01-01T20:44:00+00:00,39415,card,AXIS,captured,,,0
pay_gen_0000052,cust_006016,merch_saas_subscriptions,2026-01-01T20:59:00+00:00,470202,netbanking,SBI,captured,,,0
pay_gen_0000053,cust_004040,merch_saas_subscriptions,2026-01-01T18:32:00+00:00,618425,card,ICICI,failed,insufficient_funds,network,0
pay_gen_0000054,cust_002042,merch_saas_subscriptions,2026-01-01T09:14:00+00:00,136183,netbanking,HDFC,failed,gateway_error,gateway,0
pay_gen_0000055,cust_003945,merch_prime_retail,2026-01-01T02:46:00+00:00,1150842,card,SBI,failed,timeout,bank,0
pay_gen_0000056,cust_007182,merch_prime_retail,2026-01-01T05:52:00+00:00,55017,upi,AXIS,captured,,,0
pay_gen_0000057,cust_001916,merch_d2c_fashion,2026-01-01T18:35:00+00:00,90959,card,HDFC,captured,,,0
pay_gen_0000058,cust_006450,merch_d2c_fashion,2026-01-01T20:30:00+00:00,463002,upi,ICICI,captured,,,0
pay_gen_0000059,cust_007664,merch_d2c_fashion,2026-01-01T09:26:00+00:00,76984,upi,SBI,captured,,,0
pay_gen_0000060,cust_007074,merch_prime_retail,2026-01-01T22:28:00+00:00,3118054,upi,ICICI,captured,,,0
pay_gen_0000061,cust_004087,merch_prime_retail,2026-01-01T00:21:00+00:00,60835,upi,HDFC,captured,,,0
pay_gen_0000062,cust_001782,merch_prime_retail,2026-01-01T09:47:00+00:00,4124869,upi,ICICI,captured,,,0
pay_gen_0000063,cust_005627,merch_saas_subscriptions,2026-01-01T12:18:00+00:00,144052,upi,KOTAK,captured,,,0
pay_gen_0000064,cust_003816,merch_saas_subscriptions,2026-01-01T14:10:00+00:00,50689,card,ICICI,captured,,,0
pay_gen_0000065,cust_001234,merch_prime_retail,2026-01-01T23:22:00+00:00,426253,card,KOTAK,failed,processing_error,network,0
pay_gen_0000066,cust_002625,merch_prime_retail,2026-01-01T20:38:00+00:00,187531,netbanking,HDFC,captured,,,0
pay_gen_0000067,cust_004683,merch_prime_retail,2026-01-01T15:53:00+00:00,3740822,card,ICICI,captured,,,0
