opp_id,action,executed_ts,success,recovered_minor,cost_minor,decided_by
opp_gen_0000005,send_payment_link,2026-01-01T06:05:45.361358+00:00,0,0,1500,legacy_ops
opp_gen_0000006,wait_for_native_retry,2026-01-01T23:17:28.912499+00:00,1,279922,0,legacy_ops
opp_gen_0000007,send_reminder,2026-01-01T13:40:08.084536+00:00,0,0,300,legacy_ops
opp_gen_0000009,send_reminder,2026-01-01T11:43:26.237974+00:00,0,0,300,legacy_ops
opp_gen_0000016,send_reminder,2026-01-01T20:29:25.854343+00:00,0,0,300,legacy_ops
opp_gen_0000025,send_payment_link,2026-01-01T05:23:50.141650+00:00,0,0,1500,legacy_ops
opp_gen_0000035,send_reminder,2026-01-01T14:05:28.062540+00:00,0,0,300,legacy_ops
opp_gen_0000036,send_payment_link,2026-01-01T23:13:07.194650+00:00,1,442257,1500,legacy_ops
opp_gen_0000038,send_payment_link,2026-01-01T09:52:41.517389+00:00,1,168722,1500,legacy_ops
opp_gen_0000049,send_payment_link,2026-01-01T01:49:14.400379+00:00,0,0,1500,legacy_ops
opp_gen_0000050,send_reminder,2026-01-01T19:39:58.842760+00:00,1,304914,300,legacy_ops
opp_gen_0000051,send_reminder,2026-01-01T19:40:56.966300+00:00,1,340614,300,legacy_ops
opp_gen_0000053,prompt_card_change,2026-01-01T17:51:41.938751+00:00,1,1534002,2000,legacy_ops
opp_gen_0000059,send_reminder,2026-01-01T15:27:20.395598+00:00,1,131240,300,legacy_ops
opp_gen_0000062,send_payment_link,2026-01-01T05:06:56.304282+00:00,0,0,1500,legacy_ops
opp_gen_0000069,send_payment_link,2026-01-01T10:23:31.069974+00:00,1,271138,1500,legacy_ops
opp_gen_0000080,send_payment_link,2026-01-01T00:58:20.857088+00:00,1,505976,1500,legacy_ops
opp_gen_0000087,send_payment_link,2026-01-01T12:16:51.462348+00:00,0,0,1500,legacy_ops
opp_gen_0000092,send_reminder,2026-01-01T14:41:22.723666+00:00,1,262278,300,legacy_ops
opp_gen_0000104,send_payment_link,2026-01-01T06:13:08.986762+00:00,0,0,1500,legacy_ops
opp_gen_0000106,send_payment_link,2026-01-01T09:54:23.198159+00:00,1,224308,1500,legacy_ops
opp_gen_0000113,send_reminder,2026-01-01T15:27:22.903669+00:00,0,0,300,legacy_ops
opp_gen_0000121,send_reminder,2026-01-01T14:21:54.551036+00:00,0,0,300,legacy_ops
opp_gen_0000130,wait_for_native_retry,2026-01-02T23:02:55.817454+00:00,0,0,0,legacy_ops
opp_gen_0000135,send_payment_link,2026-01-02T12:15:45.303775+00:00,1,961528,1500,legacy_ops
opp_gen_0000137,send_reminder,2026-01-02T07:18:38.451595+00:00,0,0,300,legacy_ops
opp_gen_0000155,send_payment_link,2026-01-02T19:09:54.178893+00:00,0,0,1500,legacy_ops
opp_gen_0000157,send_payment_link,2026-01-02T23:34:11.121202+00:00,0,0,1500,legacy_ops
opp_gen_0000169,send_reminder,2026-01-02T11:49:53.036167+00:00,0,0,300,legacy_ops
opp_gen_0000172,send_reminder,2026-01-02T17:35:41.136529+00:00,1,75060,300,legacy_ops
opp_gen_0000180,send_payment_link,2026-01-02T02:16:41.576018+00:00,1,511903,1500,legacy_ops
opp_gen_0000181,send_payment_link,2026-01-02T12:40:51.617612+00:00,0,0,1500,legacy_ops
opp_gen_0000192,send_payment_link,2026-01-02T13:31:56.602808+00:00,0,0,1500,legacy_ops
opp_gen_0000204,send_reminder,2026-01-02T03:44:09.294586+00:00,0,0,300,legacy_ops
opp_gen_0000206,send_payment_link,2026-01-02T14:41:08.009624+00:00,1,81100,1500,legacy_ops
opp_gen_0000210,send_payment_link,2026-01-02T16:27:25.530514+00:00,1,178936,1500,legacy_ops
opp_gen_0000212,send_payment_link,2026-01-03T00:36:25.812630+00:00,1,292135,1500,legacy_ops
opp_gen_0000215,send_payment_link,2026-01-02T15:07:55.360403+00:00,0,0,1500,legacy_ops
opp_gen_0000216,send_payment_link,2026-01-03T04:47:19.784499+00:00,1,812927,1500,legacy_ops
opp_gen_0000218,send_payment_link,2026-01-03T07:07:59.673966+00:00,1,45263,1500,legacy_ops
opp_gen_0000219,send_reminder,2026-01-03T12:01:55.599325+00:00,1,142736,300,legacy_ops
