opp_id,payment_id,created_ts,amount_minor,method,bank,error_reason,error_group,is_subscription,cust_prior_payments,cust_prior_successes,cust_prior_method_match,cust_prior_failed_instrument,minutes_since_failure,merchant_baseline_success,merchant_volume,hour,weekday,contact_stale,natural_recovered
opp_gen_0000001,pay_gen_0000008,2026-01-02T00:34:11.201434+00:00,130189,netbanking,SBI,timeout,temporary,1,1,0,0,0,37.2,0.88,42000,0,4,0,1
opp_gen_0000002,pay_gen_0000009,2026-01-01T09:00:39.334575+00:00,43319,upi,ICICI,insufficient_funds,insufficient_funds,0,1,0,0,0,36.7,0.88,42000,9,3,0,0
opp_gen_0000003,pay_gen_0000013,2026-01-01T17:42:13.044069+00:00,266522,card,AXIS,processing_error,temporary,0,1,0,0,0,27.2,0.91,9000,17,3,0,0
opp_gen_0000004,pay_gen_0000026,2026-01-01T10:22:58.845165+00:00,177533,upi,ICICI,invalid_vpa,instrument,0,1,0,0,0,20.0,0.84,21000,10,3,1,0
opp_gen_0000005,pay_gen_0000028,2026-01-01T06:05:45.361358+00:00,2507918,card,KOTAK,insufficient_funds,insufficient_funds,0,1,0,0,0,13.8,0.84,21000,6,3,0,1
opp_gen_0000006,pay_gen_0000031,2026-01-01T23:17:28.912499+00:00,279922,card,HDFC,processing_error,temporary,1,1,0,0,0,8.5,0.91,9000,23,3,0,1
opp_gen_0000007,pay_gen_0000040,2026-01-01T13:40:08.084536+00:00,113685,netbanking,SBI,processing_error,temporary,0,1,0,0,0,37.1,0.91,9000,13,3,0,1
opp_gen_0000008,pay_gen_0000041,2026-01-01T19:23:08.444591+00:00,869708,netbanking,HDFC,network_error,temporary,0,1,0,0,0,13.1,0.84,21000,19,3,0,0
opp_gen_0000009,pay_gen_0000044,2026-01-01T11:43:26.237974+00:00,198399,netbanking,AXIS,timeout,temporary,0,1,0,0,0,40.4,0.91,9000,11,3,0,1
opp_gen_0000010,pay_gen_0000053,2026-01-01T19:00:58.642402+00:00,618425,card,ICICI,insufficient_funds,insufficient_funds,0,1,0,0,0,29.0,0.91,9000,19,3,0,1
opp_gen_0000011,pay_gen_0000054,2026-01-01T09:52:34.955399+00:00,136183,netbanking,HDFC,gateway_error,temporary,0,1,0,0,0,38.6,0.91,9000,9,3,0,1
opp_gen_0000012,pay_gen_0000055,2026-01-01T02:48:47.957934+00:00,1150842,card,SBI,timeout,temporary,0,1,0,0,0,2.8,0.88,42000,2,3,0,0
opp_gen_0000013,pay_gen_0000065,2026-01-01T23:52:18.103182+00:00,426253,card,KOTAK,processing_error,temporary,0,1,0,0,0,30.3,0.88,42000,23,3,0,1
opp_gen_0000014,pay_gen_0000074,2026-01-01T01:04:13.507687+00:00,97228,card,HDFC,authentication_required,auth,0,1,0,0,0,8.2,0.84,21000,1,3,0,0
opp_gen_0000015,pay_gen_0000075,2026-01-01T00:43:28.167160+00:00,229727,upi,SBI,authentication_required,auth,0,1,0,0,0,18.5,0.88,42000,0,3,0,0
opp_gen_0000016,pay_gen_0000083,2026-01-01T20:29:25.854343+00:00,197109,netbanking,AXIS,user_authentication_failed,auth,0,1,0,0,0,41.4,0.91,9000,20,3,0,0
opp_gen_0000017,pay_gen_0000086,2026-01-01T18:37:44.884143+00:00,126914,card,SBI,card_expired,instrument,0,1,0,0,0,16.7,0.91,9000,18,3,0,0
opp_gen_0000018,pay_gen_0000087,2026-01-01T12:50:14.159549+00:00,2155408,card,AXIS,insufficient_funds,insufficient_funds,0,1,0,0,0,39.2,0.91,9000,12,3,1,0
opp_gen_0000019,pay_gen_0000089,2026-01-01T17:38:16.330172+00:00,4150689,upi,HDFC,user_authentication_failed,auth,0,1,0,0,0,11.3,0.88,42000,17,3,1,0
opp_gen_0000020,pay_gen_0000092,2026-01-01T20:57:05.607104+00:00,260260,netbanking,SBI,timeout,temporary,0,1,0,0,0,29.1,0.91,9000,20,3,0,1
opp_gen_0000021,pay_gen_0000108,2026-01-01T02:06:26.439804+00:00,197588,netbanking,AXIS,processing_error,temporary,0,1,0,0,0,31.4,0.84,21000,2,3,0,1
opp_gen_0000022,pay_gen_0000114,2026-01-01T15:37:26.059769+00:00,200883,upi,AXIS,invalid_card,instrument,0,1,0,0,0,29.4,0.84,21000,15,3,0,0
opp_gen_0000023,pay_gen_0000121,2026-01-01T21:31:57.139184+00:00,833293,wallet,freecharge,timeout,temporary,0,1,0,0,0,15.0,0.84,21000,21,3,0,1
opp_gen_0000024,pay_gen_0000124,2026-01-01T06:31:53.412231+00:00,121491,netbanking,ICICI,gateway_error,temporary,0,1,0,0,0,13.9,0.91,9000,6,3,0,0
opp_gen_0000025,pay_gen_0000125,2026-01-01T05:23:50.141650+00:00,1159067,netbanking,HDFC,processing_error,temporary,0,1,0,0,0,20.8,0.88,42000,5,3,0,0
opp_gen_0000026,pay_gen_0000127,2026-01-01T13:39:03.228429+00:00,48413,upi,ICICI,authentication_required,auth,0,1,0,0,0,21.1,0.88,42000,13,3,0,0
opp_gen_0000027,pay_gen_0000128,2026-01-01T22:25:14.233220+00:00,801455,upi,ICICI,user_authentication_failed,auth,0,1,0,0,0,27.2,0.91,9000,22,3,0,1
opp_gen_0000028,pay_gen_0000130,2026-01-01T14:15:45.941006+00:00,221824,netbanking,ICICI,timeout,temporary,0,1,0,0,0,36.8,0.84,21000,14,3,0,1
opp_gen_0000029,pay_gen_0000131,2026-01-01T17:45:37.933596+00:00,86523,upi,HDFC,card_insufficient_funds,insufficient_funds,0,1,0,0,0,3.6,0.91,9000,17,3,0,0
opp_gen_0000030,pay_gen_0000132,2026-01-01T11:55:20.708670+00:00,35496,card,ICICI,authentication_required,auth,0,1,0,0,0,4.3,0.84,21000,11,3,0,0
opp_gen_0000031,pay_gen_0000141,2026-01-01T02:58:23.511085+00:00,119329,netbanking,SBI,card_insufficient_funds,insufficient_funds,0,1,0,0,0,15.4,0.88,42000,2,3,0,1
opp_gen_0000032,pay_gen_0000144,2026-01-01T14:38:38.759806+00:00,86331,netbanking,SBI,user_authentication_failed,auth,0,1,0,0,0,16.6,0.91,9000,14,3,0,0
opp_gen_0000033,pay_gen_0000145,2026-01-01T13:10:49.584939+00:00,84195,upi,KOTAK,card_insufficient_funds,insufficient_funds,0,1,0,0,0,13.8,0.88,42000,13,3,0,0
opp_gen_0000034,pay_gen_0000153,2026-01-01T19:00:47.873278+00:00,408617,netbanking,SBI,authentication_required,auth,0,1,0,0,0,42.8,0.91,9000,19,3,0,0
opp_gen_0000035,pay_gen_0000155,2026-01-01T14:05:28.062540+00:00,84584,netbanking,HDFC,network_error,temporary,0,1,0,0,0,18.5,0.91,9000,14,3,0,0
opp_gen_0000036,pay_gen_0000156,2026-01-01T23:13:07.194650+00:00,442257,upi,KOTAK,network_error,temporary,0,1,0,0,0,43.1,0.91,9000,23,3,0,1
